grade,gene,Gene description,Phenotype description
100,KIAA1522,KIAA1522 ,
99,ODF2L,outer dense fiber of sperm tails 2 like ,
99,TNR,tenascin R ,
99,HLCS,holocarboxylase synthetase ,HOLOCARBOXYLASE SYNTHETASE DEFICIENCY
99,UPF2,UPF2 regulator of nonsense mediated mRNA decay ,
99,AMPD3,adenosine monophosphate deaminase 3 ,Adenosine monophosphate deaminase deficiency
99,KSR2,kinase suppressor of ras 2 ,NON RARE IN EUROPE: Non rare obesity
99,TNPO1,transportin 1 ,
99,FAM153CP,"""family with sequence similarity 153 member C"," pseudogene [Source:HGNC Symbol;Acc:HGNC:33936]"""
99,KCNN3,potassium calcium-activated channel subfamily N member 3 ,Zimmermann-Laband syndrome
98,ZNF135,zinc finger protein 135 ,
98,ZNF675,zinc finger protein 675 ,
98,PDCD7,programmed cell death 7 ,
98,ORMDL3,ORMDL sphingolipid biosynthesis regulator 3 ,
98,C10orf67,chromosome 10 open reading frame 67 ,
98,CCNI,cyclin I ,
97,RTL9,retrotransposon Gag like 9 ,
97,SIRT2,sirtuin 2 ,
97,ECI2,enoyl-CoA delta isomerase 2 ,
97,CRY1,cryptochrome circadian regulator 1 ,DELAYED SLEEP PHASE DISORDER SUSCEPTIBILITY TO
97,NCR3LG1,natural killer cell cytotoxicity receptor 3 ligand 1 ,
97,NPIPB2,nuclear pore complex interacting protein family member B2 ,
97,ATP10B,ATPase phospholipid transporting 10B (putative) ,
97,ADHFE1,alcohol dehydrogenase iron containing 1 ,
97,SNF8,SNF8 subunit of ESCRT-II ,
97,POU2F1,POU class 2 homeobox 1 ,
97,CRB1,crumbs cell polarity complex component 1 ,Leber congenital amaurosis
97,ZFR,zinc finger RNA binding protein ,Autosomal recessive spastic paraplegia type 71
97,TUBB2A,tubulin beta 2A class IIa ,Cortical dysplasia complex with other brain malformations 5
97,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3 ,
97,CEACAM1,CEA cell adhesion molecule 1 ,
97,ARHGAP32,Rho GTPase activating protein 32 ,
96,EPN1,epsin 1 ,
96,CTDSPL,CTD small phosphatase like ,
96,OTUD7B,OTU deubiquitinase 7B ,
96,KCNA2,potassium voltage-gated channel subfamily A member 2 ,Undetermined early-onset epileptic encephalopathy
96,PAIP2B,poly(A) binding protein interacting protein 2B ,
96,CDH5,cadherin 5 ,
96,MSH5,mutS homolog 5 ,NON RARE IN EUROPE: Primary ovarian failure
96,MED13L,mediator complex subunit 13L ,Congenitally uncorrected transposition of the great arteries
96,RBM23,RNA binding motif protein 23 ,
96,PTPA,protein phosphatase 2 phosphatase activator ,
96,FOLR1,folate receptor alpha ,Neurodegenerative syndrome due to cerebral folate transport deficiency
96,FAM53C,family with sequence similarity 53 member C ,
96,PHYHIPL,phytanoyl-CoA 2-hydroxylase interacting protein like ,
96,PSKH1,protein serine kinase H1 ,
96,FAM83F,family with sequence similarity 83 member F ,
96,KCNK3,potassium two pore domain channel subfamily K member 3 ,Heritable pulmonary arterial hypertension
96,FLRT2,fibronectin leucine rich transmembrane protein 2 ,
96,TTBK1,tau tubulin kinase 1 ,
96,NOS2,nitric oxide synthase 2 ,MALARIA SUSCEPTIBILITY TO MALARIA RESISTANCE TO INCLUDED
95,TSHZ1,teashirt zinc finger homeobox 1 ,External auditory canal aplasia/hypoplasia
95,H3C6,H3 clustered histone 6 ,
95,KIAA1549L,KIAA1549 like ,
95,GFM1,G elongation factor mitochondrial 1 ,Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1
95,ZNF691,zinc finger protein 691 ,
95,TTPAL,alpha tocopherol transfer protein like ,
95,CDH2,cadherin 2 ,Familial isolated arrhythmogenic ventricular dysplasia right dominant form
95,AR,androgen receptor ,Complete androgen insensitivity syndrome
95,GPR3,G protein-coupled receptor 3 ,
95,CRB3,crumbs cell polarity complex component 3 ,
95,,novel transcript,
95,PANK3,pantothenate kinase 3 ,
95,PNPT1,polyribonucleotide nucleotidyltransferase 1 ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
95,RERG,RAS like estrogen regulated growth inhibitor ,
95,KCNC4,potassium voltage-gated channel subfamily C member 4 ,
94,ZNF660,zinc finger protein 660 ,
94,CABCOCO1,ciliary associated calcium binding coiled-coil 1 ,
94,ELOVL5,ELOVL fatty acid elongase 5 ,Spinocerebellar ataxia type 38
94,TSPAN14,tetraspanin 14 ,
94,RAB6B,"""RAB6B"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]"""
94,INSR,insulin receptor ,Hyperinsulinism due to INSR deficiency
94,MOB3B,MOB kinase activator 3B ,
94,KLB,klotho beta ,
94,ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit ,Congenital myasthenic syndromes with glycosylation defect
94,NISCH,nischarin ,
94,ATRIP,ATR interacting protein ,Seckel syndrome
94,TMEM273,transmembrane protein 273 ,
94,TNNT1,"""troponin T1"," slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]"""
94,EYA3,EYA transcriptional coactivator and phosphatase 3 ,
94,DIAPH2,diaphanous related formin 2 ,NON RARE IN EUROPE: Primary ovarian failure
94,HIPK2,homeodomain interacting protein kinase 2 ,
94,MMP14,matrix metallopeptidase 14 ,Multicentric osteolysis-nodulosis-arthropathy spectrum
94,KTN1,kinectin 1 ,
94,VPS33B,VPS33B late endosome and lysosome associated ,Arthrogryposis-renal dysfunction-cholestasis syndrome
94,RSPO4,R-spondin 4 ,Anonychia congenita totalis
94,BCL6B,BCL6B transcription repressor ,
94,ADA2,adenosine deaminase 2 ,Blackfan-Diamond anemia
94,GSTM5,glutathione S-transferase mu 5 ,
93,RXRG,retinoid X receptor gamma ,
93,CYP8B1,cytochrome P450 family 8 subfamily B member 1 ,
93,KLF12,Kruppel like factor 12 ,
93,POP1,"""POP1 homolog"," ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30129]"""
93,CCDC85C,coiled-coil domain containing 85C ,
93,ESRRB,estrogen related receptor beta ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
93,TEPSIN,TEPSIN adaptor related protein complex 4 accessory protein ,
93,FAM89B,family with sequence similarity 89 member B ,
93,TRIM44,tripartite motif containing 44 ,Isolated aniridia
93,VIL1,villin 1 ,
93,PPM1G,"""protein phosphatase"," Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]"""
93,ATP6V1F,ATPase H+ transporting V1 subunit F ,
93,ST8SIA3,"""ST8 alpha-N-acetyl-neuraminide alpha-2","8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]"""
93,TMC5,transmembrane channel like 5 ,
93,DLGAP4,DLG associated protein 4 ,
93,NEU3,neuraminidase 3 ,
93,GGA2,"""golgi associated", gamma adaptin ear containing
93,GOT2,glutamic-oxaloacetic transaminase 2 ,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 82
93,JAZF1,JAZF zinc finger 1 ,Endometrial stromal sarcoma
93,FMR1,FMRP translational regulator 1 ,Fragile X syndrome
93,TPCN1,two pore segment channel 1 ,
93,IRGQ,immunity related GTPase Q ,
93,PRRX1,paired related homeobox 1 ,Agnathia-holoprosencephaly-situs inversus syndrome
92,PTPN21,protein tyrosine phosphatase non-receptor type 21 ,
92,SMAD2,SMAD family member 2 ,Congenital heart disease
92,TMBIM6,transmembrane BAX inhibitor motif containing 6 ,
92,BAP1,BRCA1 associated protein 1 ,BAP1-related tumor predisposition syndrome
92,CCDC97,coiled-coil domain containing 97 ,
92,LASP1,LIM and SH3 protein 1 ,
92,DOCK5,dedicator of cytokinesis 5 ,
92,ZKSCAN2,zinc finger with KRAB and SCAN domains 2 ,
92,KRTAP5-7,keratin associated protein 5-7 ,
92,LRIT2,"""leucine rich repeat"," Ig-like and transmembrane domains 2 [Source:HGNC Symbol;Acc:HGNC:23443]"""
92,SFT2D2,SFT2 domain containing 2 ,
92,ZNF831,zinc finger protein 831 ,
92,TUB,TUB bipartite transcription factor ,Retinitis pigmentosa
92,HIF3A,hypoxia inducible factor 3 subunit alpha ,
92,MTAP,methylthioadenosine phosphorylase ,Diaphyseal medullary stenosis-bone malignancy syndrome
92,CUX1,cut like homeobox 1 ,Autosomal dominant non-syndromic intellectual disability
92,AKIRIN1,akirin 1 ,
92,QSOX1,quiescin sulfhydryl oxidase 1 ,
92,PLEKHA1,pleckstrin homology domain containing A1 ,
91,NTRK3,neurotrophic receptor tyrosine kinase 3 ,Congenital mesoblastic nephroma
91,KDM2A,lysine demethylase 2A ,
91,OASL,2'-5'-oligoadenylate synthetase like ,
91,RAB38,"""RAB38"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]"""
91,MRPL30,mitochondrial ribosomal protein L30 ,
91,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2 ,
91,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 ,
91,SYVN1,synoviolin 1 ,
91,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2 ,Familial primary hypomagnesemia with normocalciuria and normocalcemia
91,TESK2,testis associated actin remodelling kinase 2 ,
91,SMCO1,single-pass membrane protein with coiled-coil domains 1 ,
91,ZEB2,zinc finger E-box binding homeobox 2 ,Mowat-Wilson syndrome due to a ZEB2 point mutation
91,NANOS1,nanos C2HC-type zinc finger 1 ,Male infertility with azoospermia or oligozoospermia due to single gene mutation
91,ZNF598,"""zinc finger protein 598"," E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:28079]"""
91,RAPGEF3,Rap guanine nucleotide exchange factor 3 ,
91,FAM114A2,family with sequence similarity 114 member A2 ,
91,USP13,ubiquitin specific peptidase 13 ,
91,MYOF,myoferlin ,
91,CLDN2,claudin 2 ,
91,CSNK1A1,casein kinase 1 alpha 1 ,
91,ETF1,eukaryotic translation termination factor 1 ,
